 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:45:28]: Forward liquid flow activated
[19:45:28]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[19:46:08]: W2 OH-
 Open valve LRW2
[19:46:09]: 11762
[19:46:09]: 10546
[19:46:09]: 11069
[19:46:10]: 11337
[19:46:10]: 11404
[19:46:10]: 11367
[19:46:11]: 11377
[19:46:11]: 11475
[19:46:11]: 11247
[19:46:12]: 11119
[19:46:12]: 11037
[19:46:12]: 10988
[19:46:13]: 10950
[19:46:13]: 10894
[19:46:13]: 10848
[19:46:13]: 10808
[19:46:14]: 10754
[19:46:14]: 10681
[19:46:14]: 10396
[19:46:15]: 9905
[19:46:15]: 9416
[19:46:15]: 9044
[19:46:16]: 8864
[19:46:16]: 8776
[19:46:16]: 8732
[19:46:17]: 8725
[19:46:17]: 8668
[19:46:17]: 8654
[19:46:17]: 8671
[19:46:18]: 8697
[19:46:18]: 8685
[19:46:18]: 8697
[19:46:19]: 8696
[19:46:19]: 8673
[19:46:19]: 8689
[19:46:20]: 8690
[19:46:20]: 8695
[19:46:20]: 8674
[19:46:21]: 8676
[19:46:21]: 8687
[19:46:21]: 8700
[19:46:22]: 8696
[19:46:22]: 8698
[19:46:22]: 8706
[19:46:22]: 8684
[19:46:23]: 8689
[19:46:23]: 8700
[19:46:23]: 8695
[19:46:24]: 8704
[19:46:24]: 8692
[19:46:24]: 8708
[19:46:25]: 8708
[19:46:25]: 8700
[19:46:25]: 8694
[19:46:26]: 8714
[19:46:26]: 8704
[19:46:26]: 8696
[19:46:27]: 8702
[19:46:27]: 8713
[19:46:27]: 8718
[19:46:28]: 8704
[19:46:28]: 8705
[19:46:28]: 8710
[19:46:28]: 8711
[19:46:29]: 8720
[19:46:29]: 8718
[19:46:29]: 8704
[19:46:30]: 8715
[19:46:30]: 8722
[19:46:30]: 8702
[19:46:31]: 8718
[19:46:31]: 8706
[19:46:31]: 8717
[19:46:32]: 8708
[19:46:32]: 8704
[19:46:32]: 8724
[19:46:33]: 8719
[19:46:33]: 8710
[19:46:33]: 8715
[19:46:33]: 8716
[19:46:34]: 8724
[19:46:34]: 8723
[19:46:34]: 8715
[19:46:35]: 8708
[19:46:35]: 8707
[19:46:35]: 8724
