 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:59:27]: Forward liquid flow activated
[19:59:27]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[20:00:08]: W2 OH-
 Open valve LRW2
[20:00:08]: 11404
[20:00:08]: 8858
[20:00:09]: 8587
[20:00:09]: 8575
[20:00:09]: 8565
[20:00:10]: 8572
[20:00:10]: 8565
[20:00:10]: 8561
[20:00:11]: 8564
[20:00:11]: 8548
[20:00:11]: 8561
[20:00:12]: 8573
[20:00:12]: 8584
[20:00:12]: 8579
[20:00:13]: 8577
[20:00:13]: 8592
[20:00:13]: 8588
[20:00:14]: 8586
[20:00:14]: 8593
[20:00:14]: 8582
[20:00:14]: 8582
[20:00:15]: 8595
[20:00:15]: 8597
[20:00:15]: 8589
[20:00:16]: 8597
[20:00:16]: 8603
[20:00:16]: 8602
[20:00:17]: 8592
[20:00:17]: 8600
[20:00:17]: 8604
[20:00:18]: 8599
[20:00:18]: 8592
[20:00:18]: 8589
[20:00:19]: 8592
[20:00:19]: 8600
[20:00:19]: 8606
[20:00:20]: 8597
[20:00:20]: 8603
[20:00:20]: 8593
[20:00:21]: 8601
[20:00:21]: 8593
[20:00:21]: 8604
[20:00:22]: 8596
[20:00:22]: 8605
[20:00:22]: 8610
[20:00:23]: 8594
[20:00:23]: 8609
[20:00:23]: 8602
[20:00:23]: 8604
[20:00:24]: 8611
[20:00:24]: 8610
[20:00:24]: 8600
[20:00:25]: 8604
[20:00:25]: 8599
[20:00:25]: 8600
[20:00:26]: 8612
[20:00:26]: 8615
[20:00:26]: 8617
[20:00:27]: 8610
[20:00:27]: 8603
[20:00:27]: 8602
[20:00:28]: 8617
[20:00:28]: 8610
[20:00:28]: 8604
[20:00:29]: 8604
[20:00:29]: 8619
[20:00:29]: 8617
[20:00:30]: 8609
[20:00:30]: 8605
[20:00:30]: 8622
[20:00:31]: 8620
[20:00:31]: 8612
[20:00:31]: 8618
[20:00:32]: 8624
[20:00:32]: 8609
[20:00:32]: 8614
[20:00:32]: 8622
[20:00:33]: 8610
[20:00:33]: 8610
[20:00:33]: 8625
[20:00:34]: 8617
[20:00:34]: 8615
[20:00:34]: 8611
[20:00:35]: 8628
[20:00:35]: 8625
[20:00:35]: 8617
