 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[17:35:39]: Forward liquid flow activated
[17:35:39]: Pump W2
 Open valve LRW2
 Open valve V24
 Open valve V4
 Open valve L2_OUT
 Close valve L2_OUT
 Close valve V4
 Close valve V24
 Close valve LRW2
[17:36:09]: Loop start
[17:36:09]: Wash2
 Open valve LRW2
 Open valve V24
[17:36:10]: 4569
[17:36:10]: 4602
[17:36:10]: 4560
[17:36:11]: 4582
[17:36:11]: 4552
[17:36:11]: 4522
[17:36:12]: 4496
[17:36:12]: 4559
[17:36:12]: 4548
[17:36:13]: 4502
[17:36:13]: 4538
[17:36:13]: 4536
[17:36:14]: 4513
[17:36:14]: 4518
[17:36:14]: 4527
[17:36:15]: 4493
[17:36:15]: 4509
[17:36:15]: 4522
[17:36:16]: 4520
[17:36:16]: 4495
[17:36:16]: 4471
[17:36:17]: 4492
[17:36:17]: 4476
[17:36:17]: 4492
[17:36:18]: 4472
[17:36:18]: 4478
[17:36:18]: 4486
[17:36:18]: 4491
[17:36:19]: 4458
[17:36:19]: 4489
[17:36:19]: 4496
[17:36:20]: 4476
[17:36:20]: 4449
[17:36:20]: 4477
[17:36:21]: 4443
[17:36:21]: 4437
[17:36:21]: 4482
[17:36:22]: 4484
[17:36:22]: 4461
[17:36:22]: 4472
[17:36:23]: 4420
[17:36:23]: 4425
[17:36:23]: 4415
[17:36:24]: 4457
[17:36:24]: 4449
[17:36:24]: 4391
[17:36:25]: 4395
[17:36:25]: 4398
[17:36:25]: 4425
[17:36:26]: 4381
[17:36:26]: 4401
[17:36:26]: 4373
[17:36:27]: 4414
[17:36:27]: 4367
[17:36:27]: 4380
[17:36:28]: 4413
[17:36:28]: 4408
[17:36:28]: 4402
[17:36:29]: 4422
[17:36:29]: 4407
 Close valve V24
 Close valve LRW2
[17:36:29]: dGTP
 Open valve LR1
[17:36:29]: 4274
[17:36:30]: 9054
[17:36:30]: 9178
[17:36:30]: 9197
[17:36:31]: 9243
[17:36:31]: 9202
[17:36:31]: 9154
[17:36:32]: 9160
[17:36:32]: 9139
[17:36:32]: 9123
[17:36:33]: 9070
[17:36:33]: 9029
[17:36:33]: 9109
[17:36:34]: 9011
[17:36:34]: 9033
[17:36:34]: 8997
[17:36:34]: 8982
[17:36:35]: 8978
[17:36:35]: 9005
[17:36:35]: 9017
[17:36:36]: 9006
[17:36:36]: 8914
[17:36:36]: 8950
[17:36:37]: 8972
[17:36:37]: 8966
[17:36:37]: 8940
[17:36:38]: 8953
[17:36:38]: 8927
[17:36:38]: 8898
[17:36:39]: 8978
[17:36:39]: 8913
[17:36:39]: 8937
[17:36:40]: 8942
[17:36:40]: 8961
[17:36:40]: 8932
[17:36:41]: 8921
[17:36:41]: 8987
[17:36:41]: 8965
[17:36:42]: 8954
[17:36:42]: 8965
[17:36:42]: 8988
[17:36:43]: 8935
[17:36:43]: 9018
[17:36:43]: 8979
[17:36:44]: 8999
[17:36:44]: 8992
[17:36:44]: 8981
[17:36:44]: 9039
[17:36:45]: 8958
[17:36:45]: 8974
[17:36:45]: 9000
[17:36:46]: 9003
[17:36:46]: 9027
[17:36:46]: 8973
[17:36:47]: 8987
[17:36:47]: 9055
[17:36:47]: 9037
[17:36:48]: 9020
[17:36:48]: 9023
[17:36:48]: 9026
 Close valve LR1
[17:36:48]: Wash2
 Open valve LRW2
 Open valve V24
[17:36:49]: 8971
[17:36:49]: 9111
[17:36:50]: 9137
[17:36:50]: 9189
[17:36:50]: 9217
[17:36:51]: 9224
[17:36:51]: 9135
[17:36:51]: 9107
[17:36:51]: 9078
[17:36:52]: 8945
[17:36:52]: 8613
[17:36:52]: 7945
[17:36:53]: 6892
[17:36:53]: 5730
[17:36:53]: 5299
[17:36:54]: 5217
[17:36:54]: 5107
[17:36:54]: 5131
[17:36:55]: 4999
[17:36:55]: 5009
[17:36:55]: 5031
[17:36:56]: 4991
[17:36:56]: 4942
[17:36:56]: 4952
[17:36:57]: 4897
[17:36:57]: 4893
[17:36:57]: 4853
[17:36:58]: 4904
[17:36:58]: 4871
[17:36:58]: 4825
[17:36:59]: 4846
[17:36:59]: 4795
[17:36:59]: 4831
[17:36:59]: 4851
[17:37:00]: 4834
[17:37:00]: 4740
[17:37:00]: 4778
[17:37:01]: 4796
[17:37:01]: 4799
[17:37:01]: 4767
[17:37:02]: 4735
[17:37:02]: 4754
[17:37:02]: 4721
[17:37:03]: 4740
[17:37:03]: 4752
[17:37:03]: 4718
[17:37:04]: 4697
[17:37:04]: 4712
[17:37:04]: 4695
[17:37:05]: 4688
[17:37:05]: 4665
[17:37:05]: 4673
[17:37:06]: 4709
[17:37:06]: 4729
[17:37:06]: 4677
[17:37:06]: 4699
[17:37:07]: 4700
[17:37:07]: 4730
[17:37:07]: 4740
[17:37:08]: 4722
 Close valve V24
 Close valve LRW2
[17:37:08]: dCTP
 Open valve LR2
[17:37:08]: 4409
[17:37:09]: 9029
[17:37:09]: 9089
[17:37:09]: 9066
[17:37:10]: 9027
[17:37:10]: 9010
[17:37:10]: 9013
[17:37:11]: 8929
[17:37:11]: 8929
[17:37:11]: 8938
[17:37:12]: 8929
[17:37:12]: 8902
[17:37:12]: 8876
[17:37:13]: 8863
[17:37:13]: 8866
[17:37:13]: 8884
[17:37:13]: 8904
[17:37:14]: 8904
[17:37:14]: 8898
[17:37:14]: 8874
[17:37:15]: 8864
[17:37:15]: 8955
[17:37:15]: 8950
[17:37:16]: 8930
[17:37:16]: 8953
[17:37:16]: 8934
[17:37:17]: 8945
[17:37:17]: 8944
[17:37:17]: 8975
[17:37:18]: 9003
[17:37:18]: 9021
[17:37:18]: 8941
[17:37:19]: 8995
[17:37:19]: 9003
[17:37:19]: 9021
[17:37:19]: 9020
[17:37:20]: 9001
[17:37:20]: 8995
[17:37:20]: 9088
[17:37:21]: 9033
[17:37:21]: 9072
[17:37:21]: 9097
[17:37:22]: 9098
[17:37:22]: 9080
[17:37:22]: 9072
[17:37:23]: 9084
[17:37:23]: 9087
[17:37:23]: 9176
[17:37:24]: 9159
[17:37:24]: 9166
[17:37:24]: 9191
[17:37:25]: 9148
[17:37:25]: 9214
[17:37:25]: 9262
[17:37:26]: 9252
[17:37:26]: 9233
[17:37:26]: 9242
[17:37:27]: 9232
[17:37:27]: 9290
[17:37:27]: 9318
 Close valve LR2
[17:37:27]: Wash2
 Open valve LRW2
 Open valve V24
[17:37:28]: 9334
[17:37:28]: 9236
[17:37:28]: 9217
[17:37:29]: 9203
[17:37:29]: 9299
[17:37:29]: 9282
[17:37:30]: 9250
[17:37:30]: 9247
[17:37:30]: 9235
[17:37:31]: 9174
[17:37:31]: 9125
[17:37:31]: 9057
[17:37:32]: 8972
[17:37:32]: 8917
[17:37:32]: 8043
[17:37:33]: 6653
[17:37:33]: 5495
[17:37:33]: 5420
[17:37:34]: 5288
[17:37:34]: 5183
[17:37:34]: 5146
[17:37:35]: 5118
[17:37:35]: 5128
[17:37:35]: 5092
[17:37:35]: 5050
[17:37:36]: 5015
[17:37:36]: 4998
[17:37:36]: 4959
[17:37:37]: 4977
[17:37:37]: 4989
[17:37:37]: 4929
[17:37:38]: 4899
[17:37:38]: 4937
[17:37:38]: 4883
[17:37:39]: 4945
[17:37:39]: 4933
[17:37:39]: 4901
[17:37:40]: 4877
[17:37:40]: 4874
[17:37:40]: 4934
[17:37:41]: 4910
[17:37:41]: 4880
[17:37:41]: 4865
[17:37:42]: 4882
[17:37:42]: 4898
[17:37:42]: 4924
[17:37:43]: 4851
[17:37:43]: 4893
[17:37:43]: 4878
[17:37:44]: 4856
[17:37:44]: 4858
[17:37:44]: 4880
[17:37:44]: 4915
[17:37:45]: 4916
[17:37:45]: 4895
[17:37:45]: 4869
[17:37:46]: 4848
[17:37:46]: 4858
[17:37:46]: 4877
[17:37:47]: 4857
 Close valve V24
 Close valve LRW2
[17:37:47]: dATP
 Open valve LR3
[17:37:47]: 4204
[17:37:48]: 9207
[17:37:48]: 9187
[17:37:48]: 9160
[17:37:49]: 9138
[17:37:49]: 9128
[17:37:49]: 9127
[17:37:49]: 9093
[17:37:50]: 9079
[17:37:50]: 9062
[17:37:50]: 9088
[17:37:51]: 9087
[17:37:51]: 8998
[17:37:51]: 9036
[17:37:52]: 9029
[17:37:52]: 9039
[17:37:52]: 9027
[17:37:53]: 9009
[17:37:53]: 8997
[17:37:53]: 9005
[17:37:54]: 9060
[17:37:54]: 9053
[17:37:54]: 9080
[17:37:55]: 9044
[17:37:55]: 9127
[17:37:55]: 9066
[17:37:56]: 9100
[17:37:56]: 9133
[17:37:56]: 9131
[17:37:57]: 9146
[17:37:57]: 9133
[17:37:57]: 9209
[17:37:58]: 9156
[17:37:58]: 9186
[17:37:58]: 9238
[17:37:59]: 9244
[17:37:59]: 9251
[17:37:59]: 9235
[17:37:59]: 9241
[17:38:00]: 9261
[17:38:00]: 9354
[17:38:00]: 9331
[17:38:01]: 9355
[17:38:01]: 9361
[17:38:01]: 9392
[17:38:02]: 9430
[17:38:02]: 9367
[17:38:02]: 9459
[17:38:03]: 9453
[17:38:03]: 9454
[17:38:03]: 9470
[17:38:04]: 9499
[17:38:04]: 9537
[17:38:04]: 9473
[17:38:05]: 9566
[17:38:05]: 9558
[17:38:05]: 9564
[17:38:06]: 9564
[17:38:06]: 9602
[17:38:06]: 9639
 Close valve LR3
[17:38:06]: Wash2
 Open valve LRW2
 Open valve V24
